"","date","SW_in_Avg","SW_out_Avg","LW_in_Avg","LW_out_Avg","Rnet_Avg"
"10002",2019-10-23 18:30:00,-1.586438,-0.05746018,353.2721,374.7707,-23.02752
"10003",2019-10-23 19:00:00,-1.799984,0.228781,345.4488,373.877,-30.45694
"10004",2019-10-23 19:30:00,-1.553465,0.4181934,343.4622,373.638,-32.14746
"10005",2019-10-23 20:00:00,-1.543161,0.3469007,345.3726,374.0037,-30.52123
"10006",2019-10-23 20:30:00,-1.891831,0.3564815,339.7685,373.4897,-35.9695
"10007",2019-10-23 21:00:00,-1.749457,0.4820392,341.0054,373.2857,-34.5118
"10008",2019-10-23 21:30:00,-1.871199,0.8129861,336.7112,373.5556,-39.52865
"10009",2019-10-23 22:00:00,-2.236347,1.123702,326.2568,373.3615,-50.46479
"10010",2019-10-23 22:30:00,-2.141425,1.749383,324.3525,373.8717,-53.41004
"10011",2019-10-23 23:00:00,-1.923773,0.8597907,343.5946,375.6812,-34.87016
"10012",2019-10-23 23:30:00,-3.234726,0.3053868,325.282,373.3353,-51.59347
"10013",2019-10-24 00:00:00,-3.480188,0.8140091,312.5135,370.4905,-62.27115
"10014",2019-10-24 00:30:00,-3.271912,1.507821,311.3885,369.4277,-62.81895
"10015",2019-10-24 01:00:00,-4.038319,1.128997,303.3508,368.3149,-70.13145
"10016",2019-10-24 01:30:00,-4.625368,0.7523314,305.2838,363.8962,-63.99017
"10017",2019-10-24 02:00:00,-12.72391,-6.758206,310.4926,363.2537,-58.72681
"10018",2019-10-24 02:30:00,-6.28731,-1.757946,304.3153,370.2132,-70.42719
"10019",2019-10-24 03:00:00,-3.470175,1.506836,299.5674,369.2095,-74.61913
"10020",2019-10-24 03:30:00,-3.762165,1.229112,299.6335,368.5939,-73.95165
"10021",2019-10-24 04:00:00,-3.993212,1.897395,295.1179,366.7971,-77.56982
"10022",2019-10-24 04:30:00,-3.945822,1.565403,295.4164,365.6861,-75.78088
"10023",2019-10-24 05:00:00,-3.697231,1.388761,296.3726,366.0657,-74.77908
"10024",2019-10-24 05:30:00,-4.030483,1.303643,294.1789,364.873,-76.02823
"10025",2019-10-24 06:00:00,-4.019219,1.481408,293.2971,362.7084,-74.91192
