"","SW_in_Avg","SW_out_Avg","SW_in_HQ_Avg","SW_in_SNP1_Avg","SW_diff_Avg"
"10000",-0.210473,-3.394449,5.991602,5.815625,4.614485
"10001",-4.727432,-3.693508,-0.2134044,1.243593,0.8395177
"10002",-1.586438,-0.05746018,-0.4674607,1.345074,0.8524335
"10003",-1.799984,0.228781,-0.6097406,1.286043,0.8542872
"10004",-1.553465,0.4181934,-0.6341349,1.203023,0.8524486
"10005",-1.543161,0.3469007,-0.5853595,1.16429,0.8506146
"10006",-1.891831,0.3564815,-0.6808923,1.260238,0.8524595
"10007",-1.749457,0.4820392,-0.7093381,1.175361,0.8432341
"10008",-1.871199,0.8129861,-0.7296713,1.101553,0.8598386
"10009",-2.236347,1.123702,-1.024379,1.094166,0.8413824
"10010",-2.141425,1.749383,-1.138188,0.9631569,0.86352
"10011",-1.923773,0.8597907,-0.9471331,1.193785,0.8819625
"10012",-3.234726,0.3053868,-1.193027,1.640272,0.9871152
"10013",-3.480188,0.8140091,-1.321057,1.450222,0.9538988
"10014",-3.271912,1.507821,-1.424746,1.249117,0.8634968
"10015",-4.038319,1.128997,-1.654412,1.555421,0.909635
"10016",-4.625368,0.7523314,-1.731692,1.806391,1.042503
"10017",-12.72391,-6.758206,-1.308937,1.114479,0.7989564
"10018",-6.28731,-1.757946,-1.266287,1.350686,1.060988
"10019",-3.470175,1.506836,-1.485809,1.147719,0.8561759
"10020",-3.762165,1.229112,-1.520387,1.415278,0.8967727
"10021",-3.993212,1.897395,-1.77445,1.286122,0.8543396
"10022",-3.945822,1.565403,-1.660651,1.276903,0.826665
"10023",-3.697231,1.388761,-1.522443,1.190177,0.8395819
"10024",-4.030483,1.303643,-1.622061,1.337812,0.854354
"10025",-4.019219,1.481408,-1.68511,1.428235,0.8119167
"10026",-3.429141,1.581428,-1.280604,1.2345,0.8174632
"10027",7.323647,3.218261,8.69604,6.844265,4.568995
"10028",58.60698,8.242717,60.64795,50.80165,24.29917
"10029",136.1101,18.13273,144.6761,131.6045,31.43914
"10030",224.0502,30.39592,232.1116,231.0968,49.56943
"10031",317.045,41.62784,324.599,328.2878,52.27275
"10032",408.1375,56.06753,405.9096,418.312,70.78543
"10033",477.3462,64.01392,473.5147,486.6736,71.46841
"10034",520.4597,66.31181,520.4708,526.348,78.95372
"10035",574.7136,73.06644,576.0234,577.34,81.10706
"10036",611.6558,76.67292,611.6476,602.4124,65.67989
"10037",634.1042,78.98904,633.3111,617.689,61.81779
"10038",637.8964,79.34126,639.7199,623.6879,60.45789
"10039",626.3883,76.81351,630.7377,621.4642,74.10315
"10040",603.9113,73.30334,606.1228,586.7123,70.11331
"10041",562.9503,67.31099,562.1619,547.6564,65.53028
"10042",510.3493,59.67013,505.171,490.8098,65.10103
"10043",445.0606,51.16101,439.6203,420.881,54.73557
"10044",368.643,40.9595,363.4083,350.3374,46.93786
"10045",282.5237,29.40639,276.9842,255.3318,41.64681
"10046",194.7371,17.70399,186.9766,41.67548,30.99071
"10047",100.6799,8.10985,97.83206,44.46344,22.37072
"10048",25.44347,2.898205,25.65891,22.39265,14.32725
"10049",-3.329545,1.320063,-0.7517706,3.421643,2.715173
