"","T_CNR4_Avg","SW_in_HQ_temp_Avg","Tair_15m_Avg"
"1",15.95675,15.09261,15.24308
"2",16.85702,16.06428,16.13602
"3",17.84574,17.07668,16.94628
"4",18.54361,17.71544,17.4314
"5",19.21276,18.32868,17.94166
"6",19.49714,18.64615,18.20384
"7",19.97546,19.11667,18.63599
"8",20.44921,19.62411,19.15182
"9",20.93721,20.10368,19.61877
"10",20.84078,20.11411,19.83624
"11",21.25226,20.51818,20.32659
"12",21.18165,20.53327,20.41126
"13",21.15608,20.56387,20.61984
"14",21.02077,20.56966,20.61991
"15",20.90686,20.59797,20.86688
"16",20.45868,20.35732,20.7268
"17",19.80857,19.94992,20.34982
"18",18.67079,19.0527,19.55408
"19",16.86563,17.49481,18.34283
"20",14.92109,15.76711,16.85298
"21",14.14945,14.97665,15.97216
"22",13.2383,13.76394,14.48721
"23",11.64909,12.16563,12.94185
"24",10.75766,11.34683,12.30548
"25",9.890049,10.55338,11.69986
"26",9.866443,10.3953,11.33008
"27",9.598908,9.966223,10.73631
"28",8.442368,8.689263,9.357168
"29",8.1379,8.391488,9.102644
"30",7.841301,8.076015,8.846316
"31",7.808849,8.140862,9.039507
"32",7.895992,8.254572,9.090376
"33",7.697905,8.028174,8.831334
"34",7.058445,7.355036,8.114328
"35",7.392406,7.742168,8.628675
"36",8.123435,8.400031,9.156056
"37",8.636092,8.832353,9.47825
"38",8.001856,8.14303,8.750955
"39",7.862732,8.082798,8.732728
"40",8.047635,8.304354,8.951663
"41",7.988925,8.143345,8.753141
"42",7.463921,7.609003,8.203844
"43",7.666451,7.80513,8.520847
"44",8.717096,8.782744,9.617367
"45",10.07475,9.930083,10.72202
"46",11.22129,10.90328,11.60961
"47",12.21605,11.76567,12.32746
"48",13.4233,12.83133,13.30623
"49",14.6244,13.89001,14.23202
"50",15.24654,14.49889,14.54996
"51",16.56531,15.76192,15.6325
"52",17.49603,16.6478,16.35076
"53",18.36976,17.47042,17.0937
"54",18.94139,17.99942,17.58486
"55",19.74437,18.72747,18.23973
"56",20.40776,19.43961,18.99235
"57",20.73219,19.81926,19.33336
"58",21.09074,20.20989,19.92588
"59",21.14113,20.33623,20.11363
